word_category_id,name,difficulty
1,سقف,1
1,در ,1
1,پنجره,1
1,شیروانی,2
1,گلدان,1
1,پله,1
1,ستون,1
1,دیوار,2
1,اتاق,1
1,پذیرایی,2
1,ناهارخوری,2
1,راه رو,2
1,آسانسور,1
1,شاه نشین,3
1,مبل راحتی,2
1,کاناپه,2
1,صندلی,2
1,لوستر,1
1,آباژور,2
1,لامپ,1
1,پارکت,2
1,قالی,2
1,فرش,1
1,آشپزخانه,1
1,کمد,1
1,پنکه,1
1,کولر,1
1,میز تلویزیون,2
1,تلویزیون,2
1,شمع,1
1,سرامیک,2
1,کاشی,2
1,کوسن,1
1,پرده,1
1,تابلو نقاشی,2
1,تلفن ,1
1,تابلو عکس,2
1,کمد کتابخانه,2
1,کلید برق,2
1,تخت,1
1,بالشت,1
1,پتو,1
1,باند ضبط,2
1,نوار چسب,2
1,چسب زخم,1
1,کپسول آتش نشانی,2
1,مداد ,1
1,خودکار,1
1,ماژیک,2
1,چمدان,1
1,دی وی دی,2
1,عروسک,1
1,مجسمه,1
1,ماشین حساب,2
1,بخاری,2
1,شومینه,2
1,آچار فرانسه,1
1,پیچ گوشتی,2
1,دسته کلید,2
1,لیوان,2
1,چکش,1
1,سماور,1
1,قوری,2
1,کتری,2
1,ساعت دیواری,2
1,تِی,2
1,جارو,1
1,قابلمه,1
1,ماهی تابه,2
1,پیرکس,2
1,ملامین,2
1,پارچ آب,1
1,آجیل خوری,2
1,زیر بشقابی,2
1,تخته گوشت,2
1,نمکدان,1
1,قاشق,1
1,چنگال,1
1,چاقو,1
1,دربازکن,1
1,جا یخی,2
1,رنده,1
1,پوست گیر,2
1,ترازو,1
1,آب کش,1
1,سینی,2
1,پیش دستی,2
1,زیرسیگاری,2
1,همزن دستی,2
1,همزن برقی,2
1,کباب پز,2
1,منقل,1
1,آب پاش,1
1,بند رخت,2
1,گاز,1
1,قندشکن,1
1,سبد,1
1,کلمن,1
1,سفره ,1
1,قندان,1
1,فندک,1
1,پیش بند,2
1,کیسه فریزر,2
1,کیسه زباله,2
1,کبریت,2
1,اسپند دود کن,1
1,سیخ کباب,2
1,چای صاف کن,2
1,وردنه,1
1,کشو,1
1,دم کن,1
1,جا نونی,2
1,قیف,2
1,گردو شکن,1
1,چهار پایه,2
1,آبمیوه گیر,2
1,توری کباب پز,3
1,فنجان,1
1,ساتور,1
1,ماکروویو,2
1,سفره پاک کن,1
1,تشک,1
1,میز آرایش,2
1,مبل استیل,3
1,میز عسلی,2
1,میز کامپیوتر,2
1,میز مطالعه,2
1,جا کلیدی,2
1,جاکفشی,2
1,میز تلفن,2
1,پشتی,2
1,رخت خواب,2
1,آینه شمعدان,2
1,گلیم,2
1,دراور,2
1,کمد لباس,1
1,چرخ خیاطی,2
1,جعبه ابزار,1
1,دریل,2
1,متر,1
1,اره آهن بر,2
1,میخ,2
1,پیچ  ,2
1,رولپلاک,2
1,کاغذ سنباده,3
1,چسب آکواریوم,2
1,چسب دوقلو,2
1,روغن دان,3
1,آچار لوله گیر,3
1,سیم چین,2
1,چراغ قوه,1
1,قفل ,1
1,دم باریک,2
1,تیغ موکت بری,2
1,باتری قلمی,2
1,سه راهی,2
1,لامپ کم مصرف,1
1,لحاف,1
1,ملحفه,1
1,حوله حمام,1
1,حوله دستشویی,2
1,کهنه ,1
1,پادری,2
1,آینه  ,2
1,خاک انداز,1
1,چوب رختی,2
1,مسواک,1
1,مگس کش,1
1,بوگیر,2
1,اسکاچ,1
1,سیم ظرف شویی,2
1,تشت,1
1,جارو دستی,2
1,رو فرشی,2
1,شیشه پاک کن,2
1,لوازم تحریر,2
1,کاغذ A4,1
1,منگنه,1
1,مداد تراش,1
1,پونز,2
1,کاغذ یادداشت,2
1,دفترچه تلفن,1
1,توپ فوتبال,1
1,پاکت نامه,1
1,نقشه شهر,2
1,زیر انداز,2
1,چادر مسافرتی,2
1,گاز پیک نیک,2
1,جعبه خیاطی,2
1,چتر,1
1,تابلو فرش,1
1,میز اتو,2
1,پاشنه کش,1
1,آبنما,2
1,ادکلن,1
1,یخچال,2
1,ماشین لباس شویی,2
1,ماشین ظرف شوی,2
1,چراغ مطالعه,1
2,وب,2
2,مرورگر,2
2,موبایل,2
2,تلگرام,1
2,اینستاگرام,2
2,فالوور,1
2,لایک,2
2,کانال تلگرام,2
